,first_word,first_POS,first_animacy,first_gender,first_number,first_case,second_word,second_POS,second_person,second_case,second_number,dist,label
723,решение,NOUN,inan,neut,sing,accs,их,NPRO,3per,accs,plur,4,0
724,уравнений,NOUN,inan,neut,plur,gent,их,NPRO,3per,accs,plur,6,0
725,методах,NOUN,inan,masc,plur,loct,их,NPRO,3per,accs,plur,17,0
726,результаты,NOUN,inan,masc,plur,nomn,их,NPRO,3per,accs,plur,16,0
727,расчёта,NOUN,inan,masc,sing,gent,их,NPRO,3per,accs,plur,15,0
728,распределения,NOUN,inan,neut,sing,gent,их,NPRO,3per,accs,plur,10,0
729,формы,NOUN,inan,femn,sing,gent,их,NPRO,3per,accs,plur,6,0
730,материала,NOUN,inan,masc,sing,gent,их,NPRO,3per,accs,plur,3,0
731,основании,NOUN,inan,neut,sing,loct,них,NPRO,3per,gent,plur,35,0
732,анализа,NOUN,inan,masc,sing,gent,них,NPRO,3per,gent,plur,34,0
733,опыта,NOUN,inan,masc,sing,gent,них,NPRO,3per,gent,plur,30,0
734,реконструкции,NOUN,inan,femn,sing,gent,них,NPRO,3per,gent,plur,29,0
735,сооружений,NOUN,inan,neut,plur,gent,них,NPRO,3per,gent,plur,26,0
736,применение,NOUN,inan,neut,sing,nomn,них,NPRO,3per,gent,plur,21,0
737,методов,NOUN,inan,masc,plur,gent,них,NPRO,3per,gent,plur,17,0
738,погружения,NOUN,inan,neut,sing,gent,них,NPRO,3per,gent,plur,16,0
739,свай,NOUN,inan,femn,plur,gent,них,NPRO,3per,gent,plur,15,0
740,шпунта,NOUN,inan,masc,sing,gent,них,NPRO,3per,gent,plur,13,0
741,грунты,NOUN,inan,masc,plur,nomn,них,NPRO,3per,gent,plur,11,0
742,близости,NOUN,inan,femn,sing,loct,них,NPRO,3per,gent,plur,2,0
743,Канал,NOUN,inan,masc,sing,nomn,ее,NPRO,3per,accs,sing,9,0
744,проверки,NOUN,inan,femn,sing,gent,ее,NPRO,3per,accs,sing,6,0
745,непрерывности,NOUN,inan,femn,sing,gent,ее,NPRO,3per,accs,sing,5,0
746,ствола,NOUN,inan,masc,sing,gent,ее,NPRO,3per,accs,sing,4,0
747,металла,NOUN,inan,masc,sing,gent,ее,NPRO,3per,accs,sing,10,0
748,железобетона,NOUN,inan,masc,sing,gent,ее,NPRO,3per,accs,sing,8,0
749,стойках,NOUN,inan,femn,plur,loct,ее,NPRO,3per,accs,sing,6,0
750,подошвой,NOUN,inan,femn,sing,ablt,ее,NPRO,3per,accs,sing,3,0
751,фундамента,NOUN,inan,masc,sing,gent,ее,NPRO,3per,accs,sing,1,0
752,задача,NOUN,inan,femn,sing,nomn,ее,NPRO,3per,accs,sing,1,0
753,нагрузку,NOUN,inan,femn,sing,accs,ее,NPRO,3per,accs,sing,4,0
754,домкрата,NOUN,inan,masc,sing,gent,ее,NPRO,3per,accs,sing,6,0
755,нагружении,NOUN,inan,neut,sing,loct,ее,NPRO,3per,accs,sing,8,0
756,метод,NOUN,inan,masc,sing,nomn,ее,NPRO,3per,accs,sing,3,0
757,расклинивание,NOUN,inan,neut,sing,nomn,их,NPRO,3per,accs,plur,6,0
758,головы,NOUN,inan,femn,sing,gent,их,NPRO,3per,accs,plur,5,0
759,сваи,NOUN,inan,femn,sing,gent,их,NPRO,3per,accs,plur,13,0
760,зазор,NOUN,inan,masc,sing,nomn,их,NPRO,3per,accs,plur,2,0
761,балкой,NOUN,inan,femn,sing,ablt,их,NPRO,3per,accs,plur,4,0
762,головой,NOUN,inan,femn,sing,ablt,их,NPRO,3per,accs,plur,6,0
763,отказ,NOUN,inan,masc,sing,nomn,их,NPRO,3per,accs,plur,12,0
764,интерес,NOUN,inan,masc,sing,accs,него,NPRO,3per,gent,sing,7,0
765,универсальность,NOUN,inan,femn,sing,nomn,него,NPRO,3per,gent,sing,4,0
766,трубы,NOUN,inan,femn,sing,gent,него,NPRO,3per,gent,sing,2,0
767,температурах,NOUN,inan,femn,plur,loct,него,NPRO,3per,gent,sing,3,0
768,эластичности,NOUN,inan,femn,sing,datv,их,NPRO,3per,accs,plur,10,0
769,вода,NOUN,inan,femn,sing,nomn,их,NPRO,3per,accs,plur,8,0
770,отношении,NOUN,inan,neut,sing,loct,ее,NPRO,3per,accs,sing,24,0
771,усиления,NOUN,inan,neut,sing,gent,ее,NPRO,3per,accs,sing,22,0
772,фундаментов,NOUN,inan,masc,plur,gent,ее,NPRO,3per,accs,sing,21,0
773,объектов,NOUN,inan,masc,plur,gent,ее,NPRO,3per,accs,sing,20,0
774,ценностью,NOUN,inan,femn,sing,ablt,ее,NPRO,3per,accs,sing,15,0
775,применением,NOUN,inan,neut,sing,ablt,ее,NPRO,3per,accs,sing,13,0
776,методом,NOUN,inan,masc,sing,ablt,ее,NPRO,3per,accs,sing,10,0
777,преимуществ,NOUN,inan,neut,plur,gent,ее,NPRO,3per,accs,sing,1,0
778,завершения,NOUN,inan,neut,sing,gent,ее,NPRO,3per,accs,sing,7,0
779,работ,NOUN,inan,femn,plur,gent,ее,NPRO,3per,accs,sing,8,0
780,вдавливанию,NOUN,inan,neut,sing,datv,ее,NPRO,3per,accs,sing,10,0
781,способность,NOUN,inan,femn,sing,nomn,ее,NPRO,3per,accs,sing,13,0
782,вдавливании,NOUN,inan,neut,sing,loct,его,NPRO,3per,accs,sing,14,0
783,свай,NOUN,inan,femn,plur,gent,его,NPRO,3per,accs,sing,7,0
784,основании,NOUN,inan,neut,sing,loct,его,NPRO,3per,accs,sing,10,0
785,сооружения,NOUN,inan,neut,sing,gent,его,NPRO,3per,accs,sing,8,0
786,увеличению,NOUN,inan,neut,sing,datv,его,NPRO,3per,accs,sing,1,0
787,модуля,NOUN,inan,masc,sing,gent,его,NPRO,3per,accs,sing,1,0
788,снижению,NOUN,inan,neut,sing,datv,его,NPRO,3per,accs,sing,6,0
789,осадок,NOUN,inan,femn,plur,gent,его,NPRO,3per,accs,sing,7,0
790,исследовании,NOUN,inan,neut,sing,loct,его,NPRO,3per,accs,sing,14,0
791,фасады,NOUN,inan,masc,plur,nomn,его,NPRO,3per,accs,sing,11,0
792,зданий,NOUN,inan,neut,plur,gent,его,NPRO,3per,accs,sing,10,0
793,снижении,NOUN,inan,neut,sing,loct,его,NPRO,3per,accs,sing,4,0
794,уровня,NOUN,inan,masc,sing,gent,его,NPRO,3per,accs,sing,3,0
795,определения,NOUN,inan,neut,sing,gent,его,NPRO,3per,accs,sing,9,0
796,методов,NOUN,inan,masc,plur,gent,его,NPRO,3per,accs,sing,8,0
797,снижения,NOUN,inan,neut,sing,gent,его,NPRO,3per,accs,sing,7,0
798,уровня,NOUN,inan,masc,sing,gent,его,NPRO,3per,accs,sing,6,0
799,источники,NOUN,inan,masc,plur,nomn,его,NPRO,3per,accs,sing,1,0
800,Автору,NOUN,anim,masc,sing,datv,его,NPRO,3per,accs,sing,12,0
801,использование,NOUN,inan,neut,sing,nomn,его,NPRO,3per,accs,sing,9,0
802,комплекса,NOUN,inan,masc,sing,gent,его,NPRO,3per,accs,sing,8,0
803,снижение,NOUN,inan,neut,sing,nomn,его,NPRO,3per,accs,sing,4,0
804,уровня,NOUN,inan,masc,sing,gent,его,NPRO,3per,accs,sing,3,0
805,распространении,NOUN,inan,neut,sing,loct,его,NPRO,3per,accs,sing,1,0
806,условиях,NOUN,inan,neut,plur,loct,его,NPRO,3per,accs,sing,3,0
807,Комплекс,NOUN,inan,masc,sing,nomn,его,NPRO,3per,accs,sing,26,0
808,средств,NOUN,inan,neut,plur,gent,его,NPRO,3per,accs,sing,25,0
809,совокупность,NOUN,inan,femn,sing,accs,его,NPRO,3per,accs,sing,22,0
810,мер,NOUN,inan,femn,plur,gent,его,NPRO,3per,accs,sing,21,0
811,изоляции,NOUN,inan,femn,sing,gent,его,NPRO,3per,accs,sing,19,0
812,созданию,NOUN,inan,neut,sing,datv,его,NPRO,3per,accs,sing,9,0
813,увеличению,NOUN,inan,neut,sing,datv,его,NPRO,3per,accs,sing,3,0
814,Создание,NOUN,inan,neut,sing,nomn,его,NPRO,3per,accs,sing,6,0
815,увеличению,NOUN,inan,neut,sing,datv,его,NPRO,3per,accs,sing,3,0
816,использование,NOUN,inan,neut,sing,nomn,его,NPRO,3per,accs,sing,3,0
817,Создание,NOUN,inan,neut,sing,nomn,ними,NPRO,3per,ablt,plur,25,0
818,увеличению,NOUN,inan,neut,sing,datv,ними,NPRO,3per,ablt,plur,22,0
819,использование,NOUN,inan,neut,sing,nomn,ними,NPRO,3per,ablt,plur,16,0
820,фронту,NOUN,inan,masc,sing,datv,ними,NPRO,3per,ablt,plur,10,0
821,волны,NOUN,inan,femn,sing,gent,ними,NPRO,3per,ablt,plur,8,0
822,воздух,NOUN,inan,masc,sing,accs,ними,NPRO,3per,ablt,plur,7,0
823,сопротивление,NOUN,inan,neut,sing,accs,ними,NPRO,3per,ablt,plur,4,0
824,взаимодействии,NOUN,inan,neut,sing,loct,ними,NPRO,3per,ablt,plur,2,0
825,Материалы,NOUN,inan,masc,plur,nomn,ними,NPRO,3per,ablt,plur,1,0
826,фасадах,NOUN,inan,masc,plur,loct,их,NPRO,3per,accs,plur,3,0
827,расположение,NOUN,inan,neut,sing,nomn,их,NPRO,3per,accs,plur,3,0
828,источников,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,4,0
829,построении,NOUN,inan,neut,sing,loct,их,NPRO,3per,accs,plur,14,0
830,картин,NOUN,inan,femn,plur,gent,их,NPRO,3per,accs,plur,12,0
831,совокупность,NOUN,inan,femn,sing,accs,их,NPRO,3per,accs,plur,5,0
832,множества,NOUN,inan,neut,sing,gent,их,NPRO,3per,accs,plur,4,0
833,точек,NOUN,inan,femn,plur,gent,их,NPRO,3per,accs,plur,3,0
834,траектории,NOUN,inan,femn,sing,datv,их,NPRO,3per,accs,plur,3,0
835,промежутком,NOUN,inan,masc,sing,ablt,их,NPRO,3per,accs,plur,7,0
836,времени,NOUN,inan,neut,sing,gent,их,NPRO,3per,accs,plur,8,0
837,группе,NOUN,inan,femn,sing,loct,его,NPRO,3per,accs,sing,6,0
838,результате,NOUN,inan,masc,sing,loct,его,NPRO,3per,accs,sing,2,0
839,обработки,NOUN,inan,femn,sing,gent,его,NPRO,3per,accs,sing,1,0
840,отражении,NOUN,inan,neut,sing,loct,его,NPRO,3per,accs,sing,9,0
841,переотражении,NOUN,inan,neut,sing,loct,его,NPRO,3per,accs,sing,9,0
842,решение,NOUN,inan,neut,sing,accs,им,NPRO,3per,datv,plur,11,0
843,перфорации,NOUN,inan,femn,sing,gent,им,NPRO,3per,datv,plur,10,0
844,обшивке,NOUN,inan,femn,sing,datv,им,NPRO,3per,datv,plur,7,0
845,эстетику,NOUN,inan,femn,sing,accs,им,NPRO,3per,datv,plur,5,0
846,определении,NOUN,inan,neut,sing,loct,их,NPRO,3per,accs,plur,15,0
847,способа,NOUN,inan,masc,sing,gent,их,NPRO,3per,accs,plur,14,0
848,исполнения,NOUN,inan,neut,sing,gent,их,NPRO,3per,accs,plur,13,0
849,размеров,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,6,0
850,площади,NOUN,inan,femn,sing,loct,их,NPRO,3per,accs,plur,4,0
851,количества,NOUN,inan,neut,sing,gent,их,NPRO,3per,accs,plur,1,0
852,площади,NOUN,inan,femn,sing,loct,их,NPRO,3per,accs,plur,4,0
853,расчетом,NOUN,inan,masc,sing,ablt,их,NPRO,3per,accs,plur,8,0
854,учетом,NOUN,inan,masc,sing,ablt,их,NPRO,3per,accs,plur,10,0
855,выразительности,NOUN,inan,femn,sing,gent,их,NPRO,3per,accs,plur,12,0
856,будущего,NOUN,inan,neut,sing,gent,их,NPRO,3per,accs,plur,13,0
857,вида,NOUN,inan,masc,sing,gent,их,NPRO,3per,accs,plur,14,0
858,Особенностью,NOUN,inan,femn,sing,ablt,она,NPRO,3per,nomn,sing,12,0
859,конструкции,NOUN,inan,femn,sing,gent,она,NPRO,3per,nomn,sing,11,0
860,звукопоглотителей,NOUN,inan,masc,plur,gent,она,NPRO,3per,nomn,sing,8,0
861,«соколебание,NOUN,inan,neut,sing,nomn,она,NPRO,3per,nomn,sing,6,0
862,отделке,NOUN,inan,femn,sing,datv,их,NPRO,3per,accs,plur,26,0
863,зданий,NOUN,inan,neut,plur,gent,их,NPRO,3per,accs,plur,25,0
864,кассетами,NOUN,inan,femn,plur,ablt,их,NPRO,3per,accs,plur,24,0
865,панелей,NOUN,inan,femn,plur,gent,их,NPRO,3per,accs,plur,22,0
866,облицовкой,NOUN,inan,femn,sing,ablt,их,NPRO,3per,accs,plur,19,0
867,конструкциям,NOUN,inan,femn,plur,datv,их,NPRO,3per,accs,plur,10,0
868,случае,NOUN,inan,masc,sing,loct,их,NPRO,3per,accs,plur,4,0
869,размеры,NOUN,inan,masc,plur,nomn,их,NPRO,3per,accs,plur,3,0
870,Использование,NOUN,inan,neut,sing,nomn,их,NPRO,3per,accs,plur,23,0
871,конструкции,NOUN,inan,femn,sing,gent,их,NPRO,3per,accs,plur,10,0
872,решения,NOUN,inan,neut,sing,gent,их,NPRO,3per,accs,plur,3,0
873,задач,NOUN,inan,femn,plur,gent,их,NPRO,3per,accs,plur,17,0
874,(звукопоглощение,NOUN,inan,neut,sing,nomn,их,NPRO,3per,accs,plur,16,0
875,решение,NOUN,inan,neut,sing,accs,их,NPRO,3per,accs,plur,2,0
876,качество,NOUN,inan,neut,sing,accs,их,NPRO,3per,accs,plur,4,0
877,решения,NOUN,inan,neut,sing,gent,их,NPRO,3per,accs,plur,3,0
878,решение,NOUN,inan,neut,sing,accs,их,NPRO,3per,accs,plur,2,0
879,сокращению,NOUN,inan,neut,sing,datv,их,NPRO,3per,accs,plur,6,0
880,срока,NOUN,inan,masc,sing,gent,их,NPRO,3per,accs,plur,7,0
881,эксплуатации,NOUN,inan,femn,sing,gent,их,NPRO,3per,accs,plur,8,0
882,использовании,NOUN,inan,neut,sing,loct,их,NPRO,3per,accs,plur,11,0
883,внимание,NOUN,inan,neut,sing,accs,их,NPRO,3per,accs,plur,2,0
884,требования,NOUN,inan,neut,plur,nomn,их,NPRO,3per,accs,plur,18,0
885,создания,NOUN,inan,neut,sing,gent,их,NPRO,3per,accs,plur,16,0
886,рисунка,NOUN,inan,masc,sing,gent,их,NPRO,3per,accs,plur,15,0
887,перфораций,NOUN,inan,femn,plur,gent,их,NPRO,3per,accs,plur,14,0
888,параметры,NOUN,inan,masc,plur,nomn,их,NPRO,3per,accs,plur,10,0
889,проектирования,NOUN,inan,neut,sing,gent,их,NPRO,3per,accs,plur,8,0
890,элементов,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,6,0
891,примеры,NOUN,inan,masc,plur,nomn,их,NPRO,3per,accs,plur,1,0
892,использования,NOUN,inan,neut,sing,gent,их,NPRO,3per,accs,plur,1,0
893,эскизах,NOUN,inan,masc,plur,loct,их,NPRO,3per,accs,plur,4,0
894,десятилетия,NOUN,inan,neut,sing,gent,их,NPRO,3per,accs,plur,24,0
895,исследователями,NOUN,anim,masc,plur,ablt,их,NPRO,3per,accs,plur,22,0
896,проблема,NOUN,inan,femn,sing,nomn,их,NPRO,3per,accs,plur,20,0
897,создания,NOUN,inan,neut,sing,gent,их,NPRO,3per,accs,plur,19,0
898,применение,NOUN,inan,neut,sing,nomn,их,NPRO,3per,accs,plur,7,0
899,промышленности,NOUN,inan,femn,sing,gent,их,NPRO,3per,accs,plur,5,0
900,устройств,NOUN,inan,neut,plur,gent,их,NPRO,3per,accs,plur,1,0
901,безопасности,NOUN,inan,femn,sing,gent,их,NPRO,3per,accs,plur,3,0
902,отличий,NOUN,inan,neut,plur,gent,их,NPRO,3per,accs,plur,11,0
903,элементов,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,6,0
904,процесс,NOUN,inan,masc,sing,nomn,их,NPRO,3per,accs,plur,6,0
905,изготовления,NOUN,inan,neut,sing,gent,их,NPRO,3per,accs,plur,7,0
906,процессом,NOUN,inan,masc,sing,ablt,их,NPRO,3per,accs,plur,6,0
907,изготовления,NOUN,inan,neut,sing,gent,их,NPRO,3per,accs,plur,7,0
908,стекол,NOUN,inan,neut,plur,gent,Они,NPRO,3per,nomn,plur,6,0
909,строительстве,NOUN,inan,neut,sing,loct,Они,NPRO,3per,nomn,plur,20,0
910,промышленности,NOUN,inan,femn,sing,gent,Они,NPRO,3per,nomn,plur,2,0
911,производство,NOUN,inan,neut,sing,accs,Они,NPRO,3per,nomn,plur,14,0
912,материалов,NOUN,inan,masc,plur,gent,Они,NPRO,3per,nomn,plur,16,0
913,(растворы,NOUN,inan,masc,plur,nomn,Они,NPRO,3per,nomn,plur,8,0
914,производство,NOUN,inan,neut,sing,accs,Они,NPRO,3per,nomn,plur,14,0
915,укрепление,NOUN,inan,neut,sing,accs,Они,NPRO,3per,nomn,plur,17,0
916,грунтов,NOUN,inan,masc,plur,gent,Они,NPRO,3per,nomn,plur,18,0
917,строительстве,NOUN,inan,neut,sing,loct,Они,NPRO,3per,nomn,plur,20,0
918,Применение,NOUN,inan,neut,sing,nomn,его,NPRO,3per,accs,sing,6,0
919,качестве,NOUN,inan,neut,sing,loct,его,NPRO,3per,accs,sing,3,0
920,наполнителя,NOUN,inan,masc,sing,gent,его,NPRO,3per,accs,sing,2,0
921,эффективностью,NOUN,inan,femn,sing,ablt,его,NPRO,3per,accs,sing,8,0
922,замедления,NOUN,inan,neut,sing,gent,его,NPRO,3per,accs,sing,9,0
923,Применение,NOUN,inan,neut,sing,nomn,их,NPRO,3per,accs,plur,24,0
924,качестве,NOUN,inan,neut,sing,loct,их,NPRO,3per,accs,plur,21,0
925,наполнителя,NOUN,inan,masc,sing,gent,их,NPRO,3per,accs,plur,20,0
926,эффективностью,NOUN,inan,femn,sing,ablt,их,NPRO,3per,accs,plur,10,0
927,замедления,NOUN,inan,neut,sing,gent,их,NPRO,3per,accs,plur,9,0
928,распределении,NOUN,inan,neut,sing,loct,их,NPRO,3per,accs,plur,4,0
929,точки,NOUN,inan,femn,sing,gent,их,NPRO,3per,accs,plur,2,0
930,зрения,NOUN,inan,neut,sing,gent,их,NPRO,3per,accs,plur,1,0
931,основ,NOUN,inan,femn,plur,gent,их,NPRO,3per,accs,plur,1,0
932,защиты,NOUN,inan,femn,sing,gent,их,NPRO,3per,accs,plur,2,0
933,излучений,NOUN,inan,neut,plur,gent,их,NPRO,3per,accs,plur,4,0
934,установления,NOUN,inan,neut,sing,gent,их,NPRO,3per,accs,plur,8,0
935,пределов,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,7,0
936,огнестойкости,NOUN,inan,femn,sing,gent,их,NPRO,3per,accs,plur,6,0
937,целью,NOUN,inan,femn,sing,ablt,их,NPRO,3per,accs,plur,3,0
938,определения,NOUN,inan,neut,sing,gent,их,NPRO,3per,accs,plur,2,0
939,возможности,NOUN,inan,femn,sing,gent,их,NPRO,3per,accs,plur,1,0
940,применения,NOUN,inan,neut,sing,gent,их,NPRO,3per,accs,plur,1,0
941,авторами,NOUN,anim,masc,plur,ablt,их,NPRO,3per,accs,plur,2,0
942,методика,NOUN,inan,femn,sing,nomn,их,NPRO,3per,accs,plur,4,0
943,соответствии,NOUN,inan,neut,sing,loct,их,NPRO,3per,accs,plur,6,0
944,требованиями,NOUN,inan,neut,plur,ablt,их,NPRO,3per,accs,plur,9,0
945,подтверждения,NOUN,inan,neut,sing,gent,их,NPRO,3per,accs,plur,20,0
946,выводов,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,18,0
947,определение,NOUN,inan,neut,sing,nomn,их,NPRO,3per,accs,plur,14,0
948,состава,NOUN,inan,masc,sing,gent,их,NPRO,3per,accs,plur,13,0
949,структуры,NOUN,inan,femn,sing,gent,их,NPRO,3per,accs,plur,11,0
950,КМ,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,10,0
951,установление,NOUN,inan,neut,sing,accs,их,NPRO,3per,accs,plur,7,0
952,числа,NOUN,inan,neut,sing,gent,их,NPRO,3per,accs,plur,6,0
953,образце,NOUN,inan,masc,sing,loct,их,NPRO,3per,accs,plur,2,0
954,идентификация,NOUN,inan,femn,sing,nomn,их,NPRO,3per,accs,plur,1,0
955,основе,NOUN,inan,femn,sing,loct,их,NPRO,3per,accs,plur,3,0
956,анализа,NOUN,inan,masc,sing,gent,их,NPRO,3per,accs,plur,8,0
957,анализа,NOUN,inan,masc,sing,gent,их,NPRO,3per,accs,plur,8,0
958,методом,NOUN,inan,masc,sing,ablt,их,NPRO,3per,accs,plur,9,0
959,микроскопии,NOUN,inan,femn,sing,gent,их,NPRO,3per,accs,plur,11,0
960,рентгенограммы,NOUN,inan,femn,sing,gent,его,NPRO,3per,accs,sing,5,0
961,прогрева,NOUN,inan,masc,sing,gent,его,NPRO,3per,accs,sing,1,0
962,работа,NOUN,inan,femn,sing,nomn,его,NPRO,3per,accs,sing,25,0
963,характер,NOUN,inan,masc,sing,accs,его,NPRO,3per,accs,sing,22,0
964,внедрение,NOUN,inan,neut,sing,nomn,его,NPRO,3per,accs,sing,16,0
965,методов,NOUN,inan,masc,plur,gent,его,NPRO,3per,accs,sing,14,0
966,теории,NOUN,inan,femn,sing,gent,его,NPRO,3per,accs,sing,13,0
967,фильтрации,NOUN,inan,femn,sing,gent,его,NPRO,3per,accs,sing,12,0
968,практику,NOUN,inan,femn,sing,accs,его,NPRO,3per,accs,sing,10,0
969,проектирования,NOUN,inan,neut,sing,gent,его,NPRO,3per,accs,sing,9,0
970,дорог,NOUN,inan,femn,plur,gent,его,NPRO,3per,accs,sing,7,0
971,целью,NOUN,inan,femn,sing,ablt,его,NPRO,3per,accs,sing,5,0
972,защиты,NOUN,inan,femn,sing,gent,его,NPRO,3per,accs,sing,4,0
973,задачах,NOUN,inan,femn,plur,loct,него,NPRO,3per,gent,sing,15,0
974,грунт,NOUN,inan,masc,sing,accs,него,NPRO,3per,gent,sing,13,0
975,фильтрация,NOUN,inan,femn,sing,nomn,него,NPRO,3per,gent,sing,3,0
976,воды,NOUN,inan,femn,sing,gent,него,NPRO,3per,gent,sing,2,0
977,исследования,NOUN,inan,neut,sing,gent,него,NPRO,3per,gent,sing,2,0
978,области,NOUN,inan,femn,sing,loct,него,NPRO,3per,gent,sing,4,0
979,строительства,NOUN,inan,neut,sing,gent,него,NPRO,3per,gent,sing,6,0
980,потоки,NOUN,inan,masc,plur,nomn,него,NPRO,3per,gent,sing,12,0
981,мощности,NOUN,inan,femn,sing,gent,него,NPRO,3per,gent,sing,14,0
982,терминологии,NOUN,inan,femn,sing,loct,него,NPRO,3per,gent,sing,24,0
983,степенью,NOUN,inan,femn,sing,ablt,Они,NPRO,3per,nomn,plur,24,0
984,условности,NOUN,inan,femn,sing,gent,Они,NPRO,3per,nomn,plur,23,0
985,тематике,NOUN,inan,femn,sing,datv,Они,NPRO,3per,nomn,plur,20,0
986,изучению,NOUN,inan,neut,sing,datv,Они,NPRO,3per,nomn,plur,2,0
987,плане,NOUN,inan,masc,sing,loct,Они,NPRO,3per,nomn,plur,5,0
988,описании,NOUN,inan,neut,sing,loct,он,NPRO,3per,nomn,sing,9,0
989,проницаемости,NOUN,inan,femn,sing,gent,он,NPRO,3per,nomn,sing,8,0
990,сред,NOUN,inan,femn,plur,gent,он,NPRO,3per,nomn,sing,6,0
991,простоты,NOUN,inan,femn,sing,gent,ее,NPRO,3per,accs,sing,1,0
992,исследованиям,NOUN,inan,neut,plur,datv,ее,NPRO,3per,accs,sing,7,0
993,погрешностям,NOUN,inan,femn,plur,datv,ее,NPRO,3per,accs,sing,12,0
994,сотен,NOUN,inan,femn,plur,gent,ее,NPRO,3per,accs,sing,15,0
995,процентов,NOUN,inan,masc,plur,gent,ее,NPRO,3per,accs,sing,16,0
996,водах,NOUN,inan,femn,plur,loct,ее,NPRO,3per,accs,sing,19,0
997,применением,NOUN,inan,neut,sing,ablt,их,NPRO,3per,accs,plur,24,0
998,технологий,NOUN,inan,femn,plur,gent,их,NPRO,3per,accs,plur,22,0
999,защиты,NOUN,inan,femn,sing,gent,их,NPRO,3per,accs,plur,5,0
1000,подтопления,NOUN,inan,neut,sing,gent,их,NPRO,3per,accs,plur,7,0
1001,водопонижения,NOUN,inan,neut,sing,gent,их,NPRO,3per,accs,plur,16,0
1002,помощью,NOUN,inan,femn,sing,ablt,их,NPRO,3per,accs,plur,12,0
1003,Прогнозирование,NOUN,inan,neut,sing,nomn,их,NPRO,3per,accs,plur,1,0
1004,эффективности,NOUN,inan,femn,sing,gent,их,NPRO,3per,accs,plur,1,0
1005,точки,NOUN,inan,femn,sing,gent,их,NPRO,3per,accs,plur,3,0
1006,зрения,NOUN,inan,neut,sing,gent,их,NPRO,3per,accs,plur,4,0
1007,защиты,NOUN,inan,femn,sing,gent,их,NPRO,3per,accs,plur,5,0
1008,подтопления,NOUN,inan,neut,sing,gent,их,NPRO,3per,accs,plur,7,0
1009,помощью,NOUN,inan,femn,sing,ablt,их,NPRO,3per,accs,plur,12,0
1010,Проницаемость,NOUN,inan,femn,sing,nomn,их,NPRO,3per,accs,plur,23,0
1011,нагрузку,NOUN,inan,femn,sing,accs,их,NPRO,3per,accs,plur,15,0
1012,деформации,NOUN,inan,femn,sing,gent,их,NPRO,3per,accs,plur,3,0
1013,уменьшение,NOUN,inan,neut,sing,nomn,их,NPRO,3per,accs,plur,1,0
1014,пористости,NOUN,inan,femn,sing,gent,их,NPRO,3per,accs,plur,1,0
1015,коэффициента,NOUN,inan,masc,sing,gent,их,NPRO,3per,accs,plur,3,0
1016,фильтрации,NOUN,inan,femn,sing,gent,их,NPRO,3per,accs,plur,4,0
1017,факторами,NOUN,inan,masc,plur,ablt,их,NPRO,3per,accs,plur,18,0
1018,альбедо,NOUN,inan,neut,sing,nomn,их,NPRO,3per,accs,plur,14,0
1019,затенение,NOUN,inan,neut,sing,nomn,их,NPRO,3per,accs,plur,12,0
1020,участков,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,11,0
1021,застройки,NOUN,inan,femn,sing,gent,их,NPRO,3per,accs,plur,3,0
1022,зданиями,NOUN,inan,neut,plur,ablt,их,NPRO,3per,accs,plur,9,0
1023,температура,NOUN,inan,femn,sing,nomn,их,NPRO,3per,accs,plur,6,0
1024,почвогрунтов,NOUN,inan,masc,plur,gent,их,NPRO,3per,accs,plur,20,0
1025,аэрация,NOUN,inan,femn,sing,nomn,их,NPRO,3per,accs,plur,2,0
1026,скорость,NOUN,inan,femn,sing,nomn,их,NPRO,3per,accs,plur,4,0
1027,инфильтрация,NOUN,inan,femn,sing,nomn,их,NPRO,3per,accs,plur,14,0
1028,осадков,NOUN,inan,,plur,gent,их,NPRO,3per,accs,plur,8,0
1029,грунты,NOUN,inan,masc,plur,nomn,их,NPRO,3per,accs,plur,10,0
1030,инфильтрация,NOUN,inan,femn,sing,nomn,их,NPRO,3per,accs,plur,14,0
1031,испарение,NOUN,inan,neut,sing,nomn,их,NPRO,3per,accs,plur,16,0
1032,воды,NOUN,inan,femn,sing,gent,их,NPRO,3per,accs,plur,17,0
1033,поверхности,NOUN,inan,femn,sing,gent,их,NPRO,3per,accs,plur,19,0
1034,уровня,NOUN,inan,masc,sing,gent,их,NPRO,3per,accs,plur,24,0
1035,вод,NOUN,inan,femn,plur,gent,их,NPRO,3per,accs,plur,26,0
1036,Использование,NOUN,inan,neut,sing,nomn,их,NPRO,3per,accs,plur,26,0
1037,устройства,NOUN,inan,neut,sing,gent,их,NPRO,3per,accs,plur,23,0
1038,оснований,NOUN,inan,neut,plur,gent,их,NPRO,3per,accs,plur,21,0
1039,качестве,NOUN,inan,neut,sing,loct,их,NPRO,3per,accs,plur,19,0
